retro_id,city,nickname,season,games
HOU,Houston,Astros,2022,88
HOU,Houston,Astros,2023,87
HOU,Houston,Astros,2024,83
HOU,Houston,Colts,1990,81
HOU,Houston,Colts,1991,81
HOU,Houston,Colts,1992,81
HOU,Houston,Colts,1993,81
HOU,Houston,Colts,1994,59
HOU,Houston,Colts,1995,72
HOU,Houston,Colts,1996,81
HOU,Houston,Colts,1997,82
HOU,Houston,Colts,1998,83
HOU,Houston,Colts,1999,84
HOU,Houston,Colts,2000,81
HOU,Houston,Colts,2001,83
HOU,Houston,Colts,2002,81
HOU,Houston,Colts,2003,81
HOU,Houston,Colts,2004,86
HOU,Houston,Colts,2005,88
HOU,Houston,Colts,2006,81
HOU,Houston,Colts,2007,81
HOU,Houston,Colts,2008,80
HOU,Houston,Colts,2009,81
HOU,Houston,Colts,2010,81
HOU,Houston,Colts,2011,81
HOU,Houston,Colts,2012,81
HOU,Houston,Colts,2013,81
HOU,Houston,Colts,2014,81
HOU,Houston,Colts,2015,83
HOU,Houston,Colts,2016,81
HOU,Houston,Colts,2017,90
HOU,Houston,Colts,2018,86
HOU,Houston,Colts,2019,91
HOU,Houston,Colts,2020,33
HOU,Houston,Colts,2021,89
HOU,Houston,Colts,2022,88
HOU,Houston,Colts,2023,87
HOU,Houston,Colts,2024,83
KCA,Kansas City,Royals,1990,81
KCA,Kansas City,Royals,1991,81
KCA,Kansas City,Royals,1992,81
KCA,Kansas City,Royals,1993,81
KCA,Kansas City,Royals,1994,59
KCA,Kansas City,Royals,1995,72
KCA,Kansas City,Royals,1996,80
KCA,Kansas City,Royals,1997,80
KCA,Kansas City,Royals,1998,80
KCA,Kansas City,Royals,1999,80
KCA,Kansas City,Royals,2000,81
KCA,Kansas City,Royals,2001,81
KCA,Kansas City,Royals,2002,81
KCA,Kansas City,Royals,2003,80
KCA,Kansas City,Royals,2004,80
KCA,Kansas City,Royals,2005,81
KCA,Kansas City,Royals,2006,81
KCA,Kansas City,Royals,2007,81
KCA,Kansas City,Royals,2008,81
KCA,Kansas City,Royals,2009,81
KCA,Kansas City,Royals,2010,81
KCA,Kansas City,Royals,2011,81
KCA,Kansas City,Royals,2012,81
KCA,Kansas City,Royals,2013,81
KCA,Kansas City,Royals,2014,89
KCA,Kansas City,Royals,2015,89
KCA,Kansas City,Royals,2016,81
KCA,Kansas City,Royals,2017,81
KCA,Kansas City,Royals,2018,81
KCA,Kansas City,Royals,2019,81
KCA,Kansas City,Royals,2020,30
KCA,Kansas City,Royals,2021,81
KCA,Kansas City,Royals,2022,81
KCA,Kansas City,Royals,2023,81
KCA,Kansas City,Royals,2024,83
LAN,Los Angeles,Dodgers,1990,81
LAN,Los Angeles,Dodgers,1991,81
LAN,Los Angeles,Dodgers,1992,81
LAN,Los Angeles,Dodgers,1993,81
LAN,Los Angeles,Dodgers,1994,55
LAN,Los Angeles,Dodgers,1995,74
LAN,Los Angeles,Dodgers,1996,83
LAN,Los Angeles,Dodgers,1997,81
LAN,Los Angeles,Dodgers,1998,81
LAN,Los Angeles,Dodgers,1999,81
