retro_id,city,nickname,season,vegas_name
LAN,Los Angeles,Dodgers,2009,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2010,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2011,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2012,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2013,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2014,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2015,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2016,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2017,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2018,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2019,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2020,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2021,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2022,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2023,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2024,Los Angeles Dodgers
MIA,Miami,Marlins,2012,Miami Marlins
MIA,Miami,Marlins,2013,Miami Marlins
MIA,Miami,Marlins,2014,Miami Marlins
MIA,Miami,Marlins,2015,Miami Marlins
MIA,Miami,Marlins,2016,Miami Marlins
MIA,Miami,Marlins,2017,Miami Marlins
MIA,Miami,Marlins,2018,Miami Marlins
MIA,Miami,Marlins,2019,Miami Marlins
MIA,Miami,Marlins,2020,Miami Marlins
MIA,Miami,Marlins,2021,Miami Marlins
MIA,Miami,Marlins,2022,Miami Marlins
MIA,Miami,Marlins,2023,Miami Marlins
MIA,Miami,Marlins,2024,Miami Marlins
MIL,Milwaukee,Brewers,1990,Milwaukee Brewers
MIL,Milwaukee,Brewers,1991,Milwaukee Brewers
MIL,Milwaukee,Brewers,1992,Milwaukee Brewers
MIL,Milwaukee,Brewers,1993,Milwaukee Brewers
MIL,Milwaukee,Brewers,1994,Milwaukee Brewers
